x_location	radius	area	Mach	P_P0
0.169000	0.113486	0.040461	0.529126	0.826387
0.170000	0.113146	0.040218	0.533824	0.823658
0.171000	0.112810	0.039980	0.538549	0.820900
0.172000	0.112479	0.039746	0.543302	0.818113
0.173000	0.112153	0.039516	0.548082	0.815298
0.174000	0.111832	0.039290	0.552891	0.812454
0.175000	0.111515	0.039068	0.557727	0.809582
0.176000	0.111203	0.038849	0.562591	0.806682
0.177000	0.110895	0.038635	0.567483	0.803753
0.178000	0.110592	0.038424	0.572402	0.800796
0.179000	0.110294	0.038217	0.577350	0.797810
0.180000	0.110000	0.038013	0.582325	0.794797
0.181000	0.109711	0.037814	0.587329	0.791755
0.182000	0.109426	0.037617	0.592360	0.788685
0.183000	0.109145	0.037425	0.597420	0.785588
0.184000	0.108869	0.037236	0.602507	0.782463
0.185000	0.108598	0.037050	0.607622	0.779310
0.186000	0.108331	0.036868	0.612766	0.776129
0.187000	0.108068	0.036690	0.617937	0.772922
0.188000	0.107810	0.036515	0.623137	0.769687
0.189000	0.107556	0.036343	0.628364	0.766425
0.190000	0.107307	0.036175	0.633620	0.763136
0.191000	0.107062	0.036010	0.638904	0.759820
0.192000	0.106821	0.035848	0.644216	0.756478
0.193000	0.106585	0.035689	0.649555	0.753110
0.194000	0.106353	0.035534	0.654923	0.749716
0.195000	0.106125	0.035382	0.660320	0.746295
0.196000	0.105902	0.035233	0.665744	0.742850
0.197000	0.105683	0.035088	0.671196	0.739378
0.198000	0.105468	0.034945	0.676677	0.735882
0.199000	0.105257	0.034806	0.682185	0.732360
0.200000	0.105051	0.034670	0.687722	0.728814
0.201000	0.104849	0.034537	0.693286	0.725243
0.202000	0.104651	0.034406	0.698879	0.721649
0.203000	0.104458	0.034279	0.704500	0.718030
0.204000	0.104268	0.034155	0.710149	0.714388
0.205000	0.104083	0.034034	0.715826	0.710723
0.206000	0.103902	0.033916	0.721531	0.707035
0.207000	0.103726	0.033801	0.727265	0.703324
0.208000	0.103553	0.033688	0.733026	0.699591
0.209000	0.103385	0.033579	0.738815	0.695837
0.210000	0.103221	0.033472	0.744632	0.692060
0.211000	0.103061	0.033368	0.750477	0.688263
0.212000	0.102905	0.033268	0.756351	0.684444
0.213000	0.102753	0.033170	0.762252	0.680605
0.214000	0.102606	0.033074	0.768181	0.676747
0.215000	0.102462	0.032982	0.774138	0.672868
0.216000	0.102323	0.032892	0.780123	0.668970
0.217000	0.102188	0.032805	0.786135	0.665053
0.218000	0.102056	0.032721	0.792176	0.661118
0.219000	0.101929	0.032640	0.798244	0.657165
0.220000	0.101807	0.032561	0.804341	0.653194
0.221000	0.101688	0.032485	0.810465	0.649206
0.222000	0.101573	0.032412	0.816617	0.645202
0.223000	0.101462	0.032341	0.822796	0.641181
0.224000	0.101356	0.032273	0.829003	0.637144
0.225000	0.101253	0.032208	0.835238	0.633092
0.226000	0.101155	0.032146	0.841501	0.629026
0.227000	0.101060	0.032086	0.847791	0.624944
0.228000	0.100970	0.032028	0.854108	0.620849
0.229000	0.100884	0.031974	0.860454	0.616741
0.230000	0.100801	0.031921	0.866826	0.612619
0.231000	0.100723	0.031872	0.873227	0.608486
0.232000	0.100649	0.031825	0.879654	0.604340
0.233000	0.100579	0.031781	0.886109	0.600183
0.234000	0.100513	0.031739	0.892592	0.596015
0.235000	0.100450	0.031700	0.899101	0.591836
0.236000	0.100392	0.031663	0.905638	0.587648
0.237000	0.100338	0.031629	0.912203	0.583451
0.238000	0.100288	0.031597	0.918794	0.579244
0.239000	0.100242	0.031568	0.925413	0.575030
0.240000	0.100200	0.031542	0.932059	0.570808
0.241000	0.100162	0.031518	0.938732	0.566578
0.242000	0.100128	0.031496	0.945431	0.562342
0.243000	0.100098	0.031478	0.952158	0.558100
0.244000	0.100072	0.031461	0.958912	0.553852
0.245000	0.100050	0.031447	0.965693	0.549600
0.246000	0.100032	0.031436	0.972501	0.545343
0.247000	0.100018	0.031427	0.979336	0.541082
0.248000	0.100008	0.031421	0.986197	0.536818
0.249000	0.100002	0.031417	0.993085	0.532551
0.250000	0.100000	0.031416	1.000000	0.528282
0.251000	0.100002	0.031417	1.006942	0.524011
0.252000	0.100008	0.031421	1.013909	0.519739
0.253000	0.100018	0.031427	1.020904	0.515467
0.254000	0.100032	0.031436	1.027926	0.511194
0.255000	0.100050	0.031447	1.034973	0.506923
0.256000	0.100072	0.031461	1.042048	0.502652
0.257000	0.100098	0.031478	1.049148	0.498383
0.258000	0.100128	0.031496	1.056275	0.494116
0.259000	0.100162	0.031518	1.063428	0.489852
0.260000	0.100200	0.031542	1.070608	0.485592
0.261000	0.100242	0.031568	1.077814	0.481335
0.262000	0.100288	0.031597	1.085045	0.477083
0.263000	0.100338	0.031629	1.092303	0.472836
0.264000	0.100392	0.031663	1.099587	0.468594
0.265000	0.100450	0.031700	1.106898	0.464358
0.266000	0.100513	0.031739	1.114234	0.460129
0.267000	0.100579	0.031781	1.121596	0.455907
0.268000	0.100649	0.031825	1.128983	0.451693
0.269000	0.100723	0.031872	1.136397	0.447486
0.270000	0.100801	0.031921	1.143837	0.443289
0.271000	0.100884	0.031974	1.151302	0.439100
0.272000	0.100970	0.032028	1.158793	0.434922
0.273000	0.101060	0.032086	1.166310	0.430753
0.274000	0.101155	0.032146	1.173852	0.426595
0.275000	0.101253	0.032208	1.181420	0.422449
0.276000	0.101356	0.032273	1.189013	0.418314
0.277000	0.101462	0.032341	1.196632	0.414191
0.278000	0.101573	0.032412	1.204276	0.410081
0.279000	0.101688	0.032485	1.211946	0.405984
0.280000	0.101807	0.032561	1.219641	0.401900
0.281000	0.101929	0.032640	1.227362	0.397831
0.282000	0.102056	0.032721	1.235108	0.393776
0.283000	0.102188	0.032805	1.242878	0.389736
0.284000	0.102323	0.032892	1.250675	0.385711
0.285000	0.102462	0.032982	1.258496	0.381702
0.286000	0.102606	0.033074	1.266342	0.377709
0.287000	0.102753	0.033170	1.274214	0.373732
0.288000	0.102905	0.033268	1.282111	0.369773
0.289000	0.103061	0.033368	1.290032	0.365831
0.290000	0.103221	0.033472	1.297979	0.361907
0.291000	0.103385	0.033579	1.305951	0.358001
0.292000	0.103553	0.033688	1.313947	0.354114
0.293000	0.103726	0.033801	1.321969	0.350245
0.294000	0.103902	0.033916	1.330015	0.346396
0.295000	0.104083	0.034034	1.338086	0.342566
0.296000	0.104268	0.034155	1.346182	0.338757
0.297000	0.104458	0.034279	1.354302	0.334967
0.298000	0.104651	0.034406	1.362448	0.331199
0.299000	0.104849	0.034537	1.370618	0.327451
0.300000	0.105051	0.034670	1.378813	0.323724
0.301000	0.105257	0.034806	1.387032	0.320019
0.302000	0.105468	0.034945	1.395277	0.316336
0.303000	0.105683	0.035088	1.403545	0.312675
0.304000	0.105902	0.035233	1.411839	0.309037
0.305000	0.106125	0.035382	1.420157	0.305421
0.306000	0.106353	0.035534	1.428499	0.301828
0.307000	0.106585	0.035689	1.436867	0.298258
0.308000	0.106821	0.035848	1.445258	0.294711
0.309000	0.107062	0.036010	1.453675	0.291188
0.310000	0.107307	0.036175	1.462115	0.287689
0.311000	0.107556	0.036343	1.470581	0.284214
0.312000	0.107810	0.036515	1.479070	0.280764
0.313000	0.108068	0.036690	1.487585	0.277337
0.314000	0.108331	0.036868	1.496124	0.273936
0.315000	0.108598	0.037050	1.504687	0.270559
0.316000	0.108869	0.037236	1.513275	0.267208
0.317000	0.109145	0.037425	1.521887	0.263881
0.318000	0.109426	0.037617	1.530524	0.260580
0.319000	0.109711	0.037814	1.539185	0.257304
0.320000	0.110000	0.038013	1.547871	0.254054
0.321000	0.110294	0.038217	1.556581	0.250829
0.322000	0.110592	0.038424	1.565316	0.247631
0.323000	0.110895	0.038635	1.574076	0.244458
0.324000	0.111203	0.038849	1.582860	0.241311
0.325000	0.111515	0.039068	1.591668	0.238191
0.326000	0.111832	0.039290	1.600501	0.235096
0.327000	0.112153	0.039516	1.609359	0.232028
0.328000	0.112479	0.039746	1.618242	0.228987
0.329000	0.112810	0.039980	1.627149	0.225972
0.330000	0.113146	0.040218	1.636081	0.222983
0.331000	0.113483	0.040459	1.644976	0.220041
0.332000	0.113821	0.040700	1.653774	0.217165
0.333000	0.114159	0.040942	1.662480	0.214352
0.334000	0.114497	0.041185	1.671096	0.211599
0.335000	0.114834	0.041428	1.679625	0.208905
0.336000	0.115172	0.041672	1.688070	0.206268
0.337000	0.115510	0.041917	1.696434	0.203686
0.338000	0.115848	0.042162	1.704719	0.201156
0.339000	0.116185	0.042409	1.712927	0.198678
0.340000	0.116523	0.042655	1.721061	0.196249
0.341000	0.116861	0.042903	1.729123	0.193868
0.342000	0.117199	0.043151	1.737115	0.191534
0.343000	0.117536	0.043401	1.745039	0.189244
0.344000	0.117874	0.043650	1.752897	0.186999
0.345000	0.118212	0.043901	1.760690	0.184796
0.346000	0.118550	0.044152	1.768421	0.182634
0.347000	0.118888	0.044404	1.776090	0.180512
0.348000	0.119225	0.044657	1.783700	0.178428
0.349000	0.119563	0.044910	1.791251	0.176383
0.350000	0.119901	0.045164	1.798746	0.174374
0.351000	0.120239	0.045419	1.806185	0.172401
0.352000	0.120576	0.045675	1.813571	0.170463
0.353000	0.120914	0.045931	1.820903	0.168559
0.354000	0.121252	0.046188	1.828183	0.166687
0.355000	0.121590	0.046445	1.835414	0.164848
0.356000	0.121927	0.046704	1.842594	0.163040
0.357000	0.122265	0.046963	1.849727	0.161263
0.358000	0.122603	0.047223	1.856812	0.159515
0.359000	0.122941	0.047483	1.863850	0.157796
0.360000	0.123278	0.047745	1.870844	0.156106
0.361000	0.123616	0.048007	1.877793	0.154443
0.362000	0.123954	0.048269	1.884698	0.152807
0.363000	0.124292	0.048533	1.891560	0.151197
0.364000	0.124629	0.048797	1.898381	0.149613
0.365000	0.124967	0.049062	1.905161	0.148054
0.366000	0.125305	0.049327	1.911900	0.146520
0.367000	0.125643	0.049593	1.918600	0.145010
0.368000	0.125981	0.049860	1.925260	0.143523
0.369000	0.126318	0.050128	1.931883	0.142058
0.370000	0.126656	0.050397	1.938468	0.140617
0.371000	0.126994	0.050666	1.945017	0.139197
0.372000	0.127332	0.050936	1.951529	0.137798
0.373000	0.127669	0.051206	1.958006	0.136421
0.374000	0.128007	0.051478	1.964448	0.135064
0.375000	0.128345	0.051750	1.970855	0.133727
0.376000	0.128683	0.052022	1.977229	0.132410
0.377000	0.129020	0.052296	1.983569	0.131112
0.378000	0.129358	0.052570	1.989877	0.129832
0.379000	0.129696	0.052845	1.996152	0.128572
0.380000	0.130034	0.053120	2.002396	0.127329
0.381000	0.130371	0.053397	2.008609	0.126104
0.382000	0.130709	0.053674	2.014791	0.124896
0.383000	0.131047	0.053951	2.020942	0.123706
0.384000	0.131385	0.054230	2.027064	0.122532
0.385000	0.131722	0.054509	2.033157	0.121374
0.386000	0.132060	0.054789	2.039221	0.120233
0.387000	0.132398	0.055070	2.045256	0.119107
0.388000	0.132736	0.055351	2.051263	0.117997
0.389000	0.133073	0.055633	2.057242	0.116901
0.390000	0.133411	0.055916	2.063195	0.115821
0.391000	0.133749	0.056199	2.069120	0.114755
0.392000	0.134087	0.056484	2.075019	0.113703
0.393000	0.134425	0.056768	2.080891	0.112666
0.394000	0.134762	0.057054	2.086738	0.111642
0.395000	0.135100	0.057340	2.092559	0.110632
0.396000	0.135438	0.057627	2.098355	0.109634
0.397000	0.135776	0.057915	2.104127	0.108650
0.398000	0.136113	0.058204	2.109874	0.107679
0.399000	0.136451	0.058493	2.115596	0.106720
0.400000	0.136789	0.058783	2.121295	0.105774
0.401000	0.137127	0.059074	2.126970	0.104840
